Sample,Location,Transect,Marker,Marker_depth,Date,Time,Conductivity_75_mid,Do_75_mid,Do_150_mid,NSp,New_Sp,Cum._NSp,Time_Period,Secchi_mid,Temperature_0_mid,Temperature_75_mid,Temperature_150_mid,Temperature_500_5m,Transectstartnotes,Wind_Direction,Wind_Speed,Habitat_Comments,Conductivity_0_5m,Conductivity_0_mid,Conductivity_150_mid,Do_0_mid,End:_Rubble,End:_Silt,Habitat_Date,Habitat_Time,M1_Description,M1lat,M1long,M2lat,M2long,Macro:_Ceratophyllum,Macro:_Myriophyllum,Macro:_Nuphar,Macro:_Nymphaea,Macro:_Potamogeton,Macro:_Vallisneria,Macrophyte_Density,Macrophyte_Observer,Macrophyte_Notes,Secchi_5m,Start:_Rubble,Start:_Silt
9430,HAMH,HH50,,,5/30/2018,10:25:00 PM,,,,2,2,2,2,,21.64,,,,,,,,,771,,12.2,,,5/30/2018,9:50:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,,,,,,0,,,,,
9448,HAMH,HH50,,,6/26/2018,10:54:00 PM,,,,2,1,3,2,2.2,22.26,,,,,2,2,,,757,,8.99,,,6/26/2018,3:08:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,,,,,,0,,,,,
9780,HAMH,HH50,,,8/9/2018,10:27:00 PM,,,,8,5,9,2,,,,,,,,,,,,,,,,8/9/2018,,,43.27554717,-79.86837751,43.27502209,-79.86756905,,3,,,,,1,,rip-rap on shore side,,,
9830,HAMH,HH50,,,10/11/2018,7:52:00 PM,,,,6,1,10,2,,18.26,,,,,,,,,560,,8.72,,,10/11/2018,7:52:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,1,,,,,1,CMB,,,,
10123,HAMH,HH50,,,5/21/2019,11:54:00 PM,,111.8,,9,3,13,2,1.55,13.13,10.84,,,,,,(do .75 colum) DO% = 111.8?(temp 1.75 colum) pH = 10.84?,,740,,11.7,,,5/21/2019,6:59:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,,,,,,0,,,,,
10233,HAMH,HH50,,,6/17/2019,9:54:00 PM,,110.6,,6,2,16,2,1.7,18.24,8.43,1.4,,,,,DO = 110.6%??pH = 8.43??Turb = 1.40,,728,,10.4,,,6/17/2019,,,43.27554717,-79.86837751,43.27502209,-79.86756905,,,,,,,0,,,,,
10296,HAMH,HH50,,,7/17/2019,10:25:00 PM,,143.7,,2,0,17,2,,25.18,8.89,,,,,,"DO = 143.7%??pH = 8.89??SAV = sparse, myriophyllum",,683,,11.81,,,7/17/2019,10:25:00 PM,,43.27554717,-79.86837751,43.27502209,-79.86756905,,1,,,,,1,,,,,
10355,HAMH,HH50,,,8/20/2019,12:46:00 AM,,,,4,0,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10409,HAMH,HH50,,,10/16/2019,8:40:00 PM,,,,7,1,18,2,,15.018,,,,,,,,,517,,8.61,,,10/16/2019,8:40:00 PM,,,,,,,,,,,,0,CMB,,,,
10544,HAMH,HH50,,,7/16/2020,1:23:00 AM,,,,1,0,18,2,,25.19,,,,,,,,,649,,11.35,1,1,7/16/2020,1:23:00 AM,,,,,,,,,,,,2,CMB,,,1,1
10635,HAMH,HH50,,,9/23/2020,10:37:00 PM,,,,11,0,18,2,,18.457,8.77,6,,,,,ph=8.77?ntu=6,,488,,13.11,,,9/23/2020,10:37:00 PM,,,,,,,,,,,,1,CMB,,,,
10684,HAMH,HH50,,,10/21/2020,8:01:00 PM,,,,5,0,18,2,,13.6,7.95,2.51,,,,,ph=7.95?ntu=2.51,,484.8,,10.27,,,10/21/2020,8:01:00 PM,,,,,,,,,,,,0,CMB,,,,
10779,HAMH,HH50,,,7/28/2021,9:23:00 PM,8.83,,,1,0,18,2,,24.33,,,,,,,ph 8.83?ntu 3.22,,632,3.22,10.94,,,7/28/2021,9:23:00 PM,,43.27549,-79.86841,43.27502,-79.86756,,,,,,1,1,,,,,
10736,HAMH,HH50,,,8/24/2021,11:13:00 PM,,,,5,0,18,2,,25.99,,,,,,,ntu 4.88,,570,4.88,12.71,,,8/24/2021,11:13:00 PM,,43.27549,-79.86842,43.27501,-79.86761,,,,,,1,,,,,,
10816,HAMH,HH50,,,10/20/2021,9:36:00 PM,,,,8,0,18,2,,16.88,,,,,,,ph 8.03?ntu 3.13,,588,3.13,6.87,,,10/20/2021,9:36:00 PM,,,,,,,,,,,,0,,,,,
10837,HAMH,HH50,,,8/3/2022,12:32:00 AM,,8.41,0.69,4,0,18,2,,21.75,,,,% power 20?3200 watts,,,ph 8.41?ntu .69,,599,,8.97,,,8/3/2022,12:32:00 AM,,,,,,,,,,,,,,,,,
10843,HAMH,HH50,,,10/24/2022,8:20:00 PM,,7.91,1.43,7,2,20,2,,12.34,,,,3500 watts?%power 20,,,ph 7.91?ntu 1.43,,510,,8.68,,,10/24/2022,8:20:00 PM,,43.27551,-79.8685,43.27526,-79.86762,,,,,,,,,,,,
10867,HAMH,HH50,,,5/10/2023,11:53:00 PM,,7.9,1.84,3,0,20,2,,14.32,,,,%pwoer 20?power 2887 W,4,2,ph 7.9?ntu 1.84?cond 610?,,760,,9.98,,,5/10/2023,11:53:00 PM,,43.2755,-79.8684,43.275,-79.8676,,,,,,,0,,,,,
11071,HAMH,HH50,,,10/3/2023,11:02:00 PM,,12.4,,13,2,22,2,,21.3,,,,Power (w): 3600?Peak amps:29?Peak Volts:135?Duty Cycle: 20?Hz: 120,,,Start Lat:43.2755?Start Long:-79.8684?End Lat:43.275?End Long:-79.8676?Temp (C):21.30?DO (mg/L):12.4?SPC COND:543?STD COND:505?pH:7.03?Turb NTU:6.88,,543,,,,,10/3/2023,11:02:00 PM,,,,,,,,,,,,0,,,,,
9431,HAMH,HH51,,,5/30/2018,10:32:00 PM,,,,4,2,24,2,,21.64,,,,,,,,,771,,12.2,,,5/30/2018,9:50:00 PM,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,0,,,,,
9452,HAMH,HH51,,,6/26/2018,11:00:00 PM,,,,3,0,24,2,,22.58,,,,,2,2,,,758,,9.05,,,6/26/2018,3:09:00 PM,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,,,,2.2,,
9781,HAMH,HH51,,,8/9/2018,10:44:00 PM,,,,6,0,24,2,,,,,,generator stopped 2 times,,,,,,,,,,8/9/2018,,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,1,CMB,Rubble/ riprap along shore,,,
9831,HAMH,HH51,,,10/11/2018,7:30:00 PM,,,,9,0,24,2,,18.26,,,,,,,,,560,,8.72,,,10/11/2018,7:30:00 PM,,43.27502209,-79.86756905,43.2741885,-79.86697619,,1,,,,,1,CMB,,,,
10124,HAMH,HH51,,,5/21/2019,12:00:00 AM,,112.3,,6,0,24,2,,14.25,10.91,,,,,,(temp .75 colum) Do% = 112.3?)temp 1.5 colum) pH = 10.91,,761,,11.48,,,5/21/2019,6:59:00 PM,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,0,,,,,
10232,HAMH,HH51,,,6/17/2019,9:50:00 PM,,110.6,,6,0,24,2,1.7,18.24,8.43,1.4,,,,,DO = 110.6%??pH = 8.43??Turb = 1.40,,728,,10.4,,,6/17/2019,,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,0,,,,,
10297,HAMH,HH51,,,7/17/2019,10:36:00 PM,,143.7,,3,0,24,2,,25.18,8.89,,,,,,"DO = 143.7%??pH = 8.89??SAV = sparse, myrionphyllum",,683,,11.81,,,7/17/2019,10:36:00 PM,,43.27502209,-79.86756905,43.2741885,-79.86697619,,,,,,,1,,,,,
10356,HAMH,HH51,,,8/20/2019,12:51:00 AM,,,,4,0,24,2,,,,,,,,,SAV = none??substrate = rip/rap/rubble,,,,,,,8/20/2019,,,,,,,,,,,,,0,,,,,
10410,HAMH,HH51,,,10/16/2019,8:28:00 PM,,,,6,0,24,2,,15.018,,,,,,,,,517,,8.61,,,10/16/2019,8:28:00 PM,,,,,,,,,,,,0,CMB,,,,
10545,HAMH,HH51,,,7/16/2020,1:29:00 AM,,,,2,0,24,2,,25.19,,,,,,,,,649,,11.35,1,1,7/16/2020,1:29:00 AM,,,,,,,,,,,,2,CMB,,,1,1
10634,HAMH,HH51,,,9/23/2020,9:43:00 PM,,,,8,0,24,2,,18.457,8.77,6,,,,,ntu=6?ph=8.77,,488,,13.11,,,9/23/2020,9:41:00 PM,,,,,,,,,,,,1,CMB,,,,
10604,HAMH,HH51,,,10/21/2020,8:02:00 PM,,,,6,0,24,2,,13.6,7.95,2.51,,,,,PH=7.95?NTU=2.51,,484.8,,10.27,,,10/21/2020,8:02:00 PM,,,,,,,,,,,,0,CMB,,,,
10780,HAMH,HH51,,,7/28/2021,9:35:00 PM,8.93,,,5,1,25,2,,24.23,,,,,,,ph 8.93?ntu 2.53,,623,2.53,13.13,,,7/28/2021,9:35:00 PM,,,,,,,,,,,1,1,,,,,
10742,HAMH,HH51,,,8/24/2021,11:24:00 PM,,,,3,0,25,2,,26.55,,,,,,,ntu 5.31,,566,5.31,13.32,,,8/24/2021,11:24:00 PM,,43.27801,-79.86757,43.27419,-79.866698,,1,,,,,1,,,,,
10815,HAMH,HH51,,,10/20/2021,9:43:00 PM,8.02,,,7,0,25,2,,16.88,,,,,,,ph 8.02?ntu 3.13,,588,3.13,6.87,,,10/20/2021,9:43:00 PM,,,,,,,,,,,,,,,,,
10836,HAMH,HH51,,,8/5/2022,12:20:00 AM,,8.6,0.77,3,0,25,2,,22.64,,,,3600 watts?% power 135,,,ph 8.60?ntu 0.77,,595,,9.98,,,8/5/2022,12:20:00 AM,,,,,,,,,,,,,,,,,
10845,HAMH,HH51,,,10/24/2022,9:19:00 PM,,8.01,1.86,9,0,25,2,,13.21,,,,watts 2800?% power 20?,,,ph 8.01?ntu 1.86,,511,,9.18,,,10/24/2022,9:19:00 PM,,43.23412,-79.86684,43.27508,-79.86749,,,,,,,,,,,,
10868,HAMH,HH51,,,5/10/2023,11:57:00 PM,,7.98,1.72,4,0,25,2,,14.36,,,,%power 20?power 2890 W,4,2,ph 7.98?ntu 1.72?cond 604,,759,,10.19,,,5/10/2023,11:57:00 PM,,43.275,-79.8676,43.2742,-79.867,,,,,,,0,,,,,
11047,HAMH,HH51,,,7/20/2023,11:59:00 PM,,,,4,0,25,2,,23.7,,,,Power (w): 3500?Peak amps: 30?Peak Volts: 117?Duty Cycle: 20?Hz: 120,4,4,Start Lat: 43.27502?Start Long: -79.86757?End Lat: 43.27419?End Long: -79.86698?Temp (C): 23.7?DO (mg/L): 9.93?SPC COND: 691?STD COND: 675?pH: 8.83?Turb NTU: 1.24,,,,,,,7/20/2023,11:59:00 PM,,,,,,,,,,,,1,,,,,
11072,HAMH,HH51,,,10/3/2023,11:30:00 PM,,,,8,0,25,2,,21.2,,,,Power (w): 3800?Peak amps:27?Peak Volts:135?Duty Cycle: 20?Hz: 120,,,Start Lat:43.275?Start Long:-79.8676?End Lat:43.2742?End Long:-79.867?Temp (C):21.2?DO (mg/L):13.35?SPC COND:541?STD COND:502?pH:7.03?Turb NTU:6.7,,,,,,,10/3/2023,11:30:00 PM,,,,,,,,,,,,1,,,,,
9432,HAMH,HH52,,,5/30/2018,11:07:00 PM,,,,2,0,25,2,,21.52,,,,,,,,,768,,13.39,,,5/30/2018,9:34:00 PM,,43.27419507,-79.86526946,43.27455607,-79.86446999,,,,,,,0,,,,,
9451,HAMH,HH52,,,6/26/2018,10:30:00 PM,,,,3,0,25,2,2,21.97,,,,SAME HABITAT DATA AS DAY SITE OF SAME DATE,2,2,,,757,,9.07,,,6/26/2018,10:30:00 PM,,43.27419507,-79.86526946,43.27455607,-79.86446999,,,,,,,0,,,,,
9778,HAMH,HH52,,,8/9/2018,10:04:00 PM,,,,2,0,25,2,,,,,,,,,,,,,,,,8/9/2018,,,43.27419507,-79.86526946,43.27455607,-79.86446999,,1,,,,,2,,,,,
10113,HAMH,HH52,,,10/11/2018,12:00:00 AM,,,,0,0,25,2,,,,,,,,,,,,,,,,10/11/2018,,,43.27419507,-79.86526946,43.27455607,-79.86446999,,,,,,,0,,,,,
10122,HAMH,HH52,,,5/21/2019,10:52:00 PM,,,,3,0,25,2,1.5,,,,,H6C06 error,,,,,,,,,,5/21/2019,,,43.27419507,-79.86526946,43.27455607,-79.86446999,,,,,,,0,,,,,
10227,HAMH,HH52,,,6/11/2019,11:10:00 PM,,108.7,,5,0,25,2,,18.371,8.59,1.71,,,,,(DO .75 column) DO = 108.7%??(temp .75 column) pH = 8.59??(temp 1.5 column)NTU = 1.71??Depth - 1.5-2m,,735,,10.2,,,6/11/2019,,,43.27419507,-79.86526946,43.27455607,-79.86446999,,,,,,,0,,,,,
10298,HAMH,HH52,,,7/17/2019,10:08:00 PM,,134.3,,1,0,25,2,,24.08,8.79,,,,,,DO = 134.3% ??pH = 8.79??SAV= none,,688,,11.28,,,7/17/2019,10:08:00 PM,,43.27419507,-79.86526946,43.27455607,-79.86446999,,,,,,,1,,,,,
10360,HAMH,HH52,,,8/20/2019,12:30:00 AM,,122.9,,3,0,25,2,,22.788,8.88,,,,,,DO = 122.9%??pH = 8.88??SAV = mod; myriophyllum,,554,,10.59,,,8/20/2019,12:30:00 AM,,,,,,,1,,,,,2,,,,,
10411,HAMH,HH52,,,10/16/2019,7:53:00 PM,,,,3,0,25,2,,14.984,,,,,,,,,517,,8.43,,,10/16/2019,7:53:00 PM,,,,,,,,,,,,0,CMB,,,,
10546,HAMH,HH52,,,7/16/2020,1:53:00 AM,,,,1,0,25,2,,25.19,,,,,,,,,649,,11.35,,,7/16/2020,1:53:00 AM,,,,,,,,,,,,0,CMB,,,,
10698,HAMH,HH52,,,9/23/2020,11:25:00 PM,,,,8,2,27,2,,18.457,8.77,6,,,,,,,488,,13.11,,,9/23/2020,9:43:00 PM,,,,,,,,,,,,0,,,,,
10685,HAMH,HH52,,,10/21/2020,7:48:00 PM,,,,5,0,27,2,,13.592,7.94,2.38,,,,,ph=7.94?ntu=2.38,,487.6,,9.38,,,10/21/2020,7:48:00 PM,,,,,,,,,,,,0,,,,,
10746,HAMH,HH52,,,7/29/2021,1:55:00 AM,,,,1,0,27,2,,23.52,,,,,,,ntu 3.34,,629,3.34,11.43,,,7/29/2021,1:55:00 AM,,43.274507,-79.86443,43.27417,-79.86562,,,,,,,0,,,,,
10735,HAMH,HH52,,,8/24/2021,11:39:00 PM,,,,1,0,27,2,,26.89,,,,,4,1,ntu 5.66,,561,5.66,12.722,,,8/24/2021,11:39:00 PM,,43.27953,-79.86444,43.27417,-79.86561,,,,,,,,,,,,
10817,HAMH,HH52,,,10/20/2021,10:14:00 PM,8.02,,,4,0,27,2,,16.89,,,,,,,ph 8.02?ntu 3.55?,,589,3.55,7.04,,,10/20/2021,10:14:00 PM,,,,,,,,,,,,,,,,,
10898,HAMH,HH52,,,8/2/2022,10:00:00 PM,,,,1,0,27,2,,21.88,,,,20 % duty cycle?Power: 3500 W,,,ph: 8.51?ntu: 0.83??Bubbles active along 90% of the site,,600,,9.21,,,8/2/2022,10:00:00 PM,,43.2746,-79.8645,43.2742,-79.8653,,,,,,,0,,,,,
10844,HAMH,HH52,,,10/24/2022,9:34:00 PM,,8.01,1.27,5,0,27,2,,13.27,,,,% power 20?3600 watts,,,ph 8.01?ntu 1.27,,511,,9.66,,,10/24/2022,9:34:00 PM,,43.27455,-79.86447,43.27418,-79.86531,,,,,,,,,,,,
10869,HAMH,HH52,,,5/11/2023,12:25:00 AM,,7.98,1.74,1,0,27,2,,14.35,,,,%power 20?power 2883 W,4,2,ph 7.98?ntu 1.74?cond 614,,770,,9.89,,,5/11/2023,12:25:00 AM,,43.2746,-79.8645,43.2742,-79.8653,,,,,,,0,,,,,
11045,HAMH,HH52,,,7/21/2023,12:16:00 AM,,,,2,0,27,2,,23.8,,,,Power (w): 4000?Peak amps: 35?Peak Volts: 117?Duty Cycle: 20?Hz: 120,4,4,Start Lat: 43.27418?Start Long: -79.86531?End Lat: 43.27456?End Long: -79.86447?Temp (C): 23.83?DO (mg/L): 10.17?SPC COND: 690.1?STD COND: 675.2?pH: 8.86?Turb NTU: 1.03?No fish from bubblers,,,,,,,7/21/2023,12:16:00 AM,,,,,,,,,,,,1,,,,,
11074,HAMH,HH52,,,10/3/2023,12:10:00 AM,,,,11,0,27,2,,21.2,,,,Power (w):3600?Peak amps:29?Peak Volts:125?Duty Cycle: 20?Hz: 120,,,Start Lat:43.2746?Start Long:-79.8645?End Lat:43.2742?End Long:-79.8653?Temp (C):21.22?DO (mg/L):11.66?SPC COND:548?STD COND:509?pH:7.03?Turb NTU:13.02,,,,,,,10/3/2023,12:10:00 AM,,,,,,,,,,,,0,,,,,
9433,HAMH,HH53,,,5/30/2018,11:37:00 PM,,,,5,0,27,2,,20.93,,,,,,,,,770,,13.68,1,,5/30/2018,9:10:00 PM,2.5-3 m deep,43.27649888,-79.86191887,43.27620353,-79.86055349,,,,,,,0,,,,1,
9455,HAMH,HH53,,,6/26/2018,10:00:00 PM,,,,2,0,27,2,,,,,,,1,1,,,,,,,,6/26/2018,,,43.27649888,-79.86191887,43.27620353,-79.86055349,,,,,,,0,,,,,
9779,HAMH,HH53,,,8/9/2018,9:52:00 PM,,,,1,0,27,2,,,,,,,,,,,,,,,,8/9/2018,,,43.27649888,-79.86191887,43.27620353,-79.86055349,,1,,,,,2,CMB,,,,
10114,HAMH,HH53,,,10/11/2018,12:00:00 AM,,,,0,0,27,2,,,,,,,,,,,,,,,,10/11/2018,,,43.27649888,-79.86191887,43.27620353,-79.86055349,,,,,,,0,,,,,
10121,HAMH,HH53,,,5/21/2019,10:39:00 PM,,,,9,0,27,2,,,,,,,,,,,,,,,,5/21/2019,,,43.27649888,-79.86191887,43.27620353,-79.86055349,,,,,,,0,,,,,
10223,HAMH,HH53,,,6/11/2019,10:35:00 PM,,108.7,,6,0,27,2,,18.371,8.59,1.71,,,,,(DO .75 column) DO = 108.7%??(temp .75 column) pH = 8.59??(temp 1.5 column)NTU = 1.71??Depth - 1.5-2m,,735,,10.2,,,6/11/2019,,,43.27649888,-79.86191887,43.27620353,-79.86055349,,,,,,,0,,,,,
10299,HAMH,HH53,,,7/17/2019,9:54:00 PM,,134.4,,1,0,27,2,,24.08,8.79,,,,,,"DO = 134.4%??pH = 8.79??SAV = sparse, myriophyllum",,688,,11.28,,,7/17/2019,,,43.27649888,-79.86191887,43.27620353,-79.86055349,,1,,,,,1,,,,,
10337,HAMH,HH53,,,8/20/2019,12:01:00 AM,,125.7,,3,0,27,2,,23.17,8.94,,,,,,DO = 125.7%??pH = 8.94??SAV = none??Substrate = rip rap/cobble,,582,,10.69,,,8/20/2019,12:01:00 AM,,,,,,,,,,,,0,,,,,
10414,HAMH,HH53,,,10/16/2019,7:39:00 PM,,,,4,0,27,2,,15.084,,,,,,,,,518,,8.25,,,10/16/2019,7:39:00 PM,,,,,,,,,,,,0,CMB,,,,
10547,HAMH,HH53,,,7/16/2020,2:25:00 AM,,,,1,0,27,2,,25.19,,,,,,,,,649,,11.35,,,7/16/2020,2:25:00 AM,,,,,,,,,,,,0,CMB,,,,
10699,HAMH,HH53,,,9/23/2020,11:38:00 PM,,,,5,0,27,2,,18.457,8.77,6,,,,,,,488,,13.11,,,9/23/2020,9:43:00 PM,,,,,,,,,,,,0,,,,,
10686,HAMH,HH53,,,10/21/2020,7:35:00 PM,,,,3,0,27,2,,13.592,,,,,,,ph=7.94?ntu=2.38,,487.6,,9.38,,,10/21/2020,7:35:00 PM,,,,,,,,,,,,,,,,,
10775,HAMH,HH53,,,7/28/2021,1:52:00 AM,8.78,,,3,0,27,2,,23.71,,,,,,,ph 8.85?4.06,,634,4.06,11.23,,,7/28/2021,1:52:00 AM,,43.27651,-79.86196,43.27612,-79.86065,,,,,,1,1,,,,,
10734,HAMH,HH53,,,8/24/2021,11:59:00 PM,,,,5,0,27,2,,27.07,,,,,,,ntu 5.71,,562,5.71,12.8,,,8/24/2021,11:59:00 PM,,43.27647,-79.86159,43.27623,-79.86062,,,,,,1,1,,,,,
10813,HAMH,HH53,,,10/20/2021,10:33:00 PM,8.01,,,3,0,27,2,,17.004,,,,,,,ph 8.01?ntu 3.70,,,3.7,7.32,,,10/20/2021,10:33:00 PM,,,,,,,,,,,,0,,,,,
10897,HAMH,HH53,,,8/2/2022,10:20:00 PM,,,,7,0,27,2,,22.32,,,,20 % Duty cycle?Power: 3800 W,,,ph 8.47?ntu 0.84,,603,,9.18,,,8/2/2022,10:20:00 PM,,43.2765,-79.8619,43.2762,-79.8606,,,,,,,0,,,,,
10848,HAMH,HH53,,,10/24/2022,10:30:00 PM,,7.96,1.77,7,0,27,2,,12.84,,,,% power 20?watts 3500,,,ph 7.94?ntu 1.77,,510,,9.25,,,10/24/2022,10:30:00 PM,,43.27652,-79.86202,43.27626,-79.86071,,,,,,,0,,,,,
10875,HAMH,HH53,,,5/11/2023,12:38:00 AM,,8,1.77,6,0,27,2,,14.83,,,,%power 20?power 2898 W,4,3,ph 8.00?ntu 1.77?cond 621,,771,,9.88,,,5/11/2023,12:38:00 AM,,43.2765,-79.8619,43.2762,-79.8606,,,,,,,0,,,,,
11048,HAMH,HH53,,,7/21/2023,1:05:00 AM,,,,2,0,27,2,,24,,,,Power (w): ?Peak amps: 30?Peak Volts: 116?Duty Cycle: 20?Hz: 120,4,4,Start Lat: 43.27620?Start Long: -79.86055?End Lat: 43.27650?End Long: -79.86192?Temp (C): 23.96?DO (mg/L): 9.89?SPC COND: 692?STD COND: 679?pH: 8.81?Turb NTU: 1.01,,,,,,,7/21/2023,1:05:00 AM,,,,,,,,,,,,0,,,,,
11075,HAMH,HH53,,,10/4/2023,12:00:00 AM,,,,1,0,27,2,,21.3,,,,Power (w): 3500?Peak amps:29?Peak Volts:127?Duty Cycle: 20?Hz: 120,,,Start Lat:43.2765?Start Long:-79.8619?End Lat:43.2762?End Long:-79.8606?Temp (C):21.33?DO (mg/L):11.81?SPC COND:548?STD COND:510?pH:7.03?Turb NTU:11.22,,,,,,,10/4/2023,12:00:00 AM,,,,,,,,,,,,0,,,,,
9434,HAMH,HH54,,,5/30/2018,11:45:00 PM,,,,1,0,27,2,,20.95,,,,,,,,,770,,13.72,,,5/30/2018,8:11:00 PM,,43.27548154,-79.86057145,43.27503521,-79.86043671,,,,,,,0,,,,,
9456,HAMH,HH54,,,6/26/2018,10:10:00 PM,,,,0,0,27,2,,,,,,NO FISH,2,2,,,,,,,,6/26/2018,,,43.27548154,-79.86057145,43.27503521,-79.86043671,,,,,,,0,,,,,
10115,HAMH,HH54,,,10/11/2018,12:00:00 AM,,,,0,0,27,2,,,,,,,,,,,,,,,,10/11/2018,,,43.27548154,-79.86057145,43.27503521,-79.86043671,,,,,,,0,,,,,
10120,HAMH,HH54,,,5/21/2019,10:29:00 PM,,105,,3,0,27,2,,12.21,11.27,,,,,,,,742,,11.21,,,5/21/2019,9:00:00 PM,,43.27548154,-79.86057145,43.27503521,-79.86043671,,,,,,,0,,,,,
10219,HAMH,HH54,,,6/11/2019,10:25:00 PM,,108.7,,4,0,27,2,,18.371,8.59,1.71,,,4,1,(DO .75 column) DO = 108.7%??(temp .75 column) pH = 8.59??(temp 1.5 column)NTU = 1.71??Depth - 1.5-2m,,735,,10.2,,,6/11/2019,,,43.27548154,-79.86057145,43.27503521,-79.86043671,,,,,,,0,,,,,
10165,HAMH,HH54,,,6/13/2019,8:32:00 PM,,,,0,0,27,2,,,,,,,,,No habitat collected,,,,,,,6/13/2019,,,43.27548154,-79.86057145,43.27503521,-79.86043671,,,,,,,0,,,,,
10285,HAMH,HH54,,,7/16/2019,9:42:00 PM,,148.9,,1,0,27,2,,24.99,8.9,,,,,,DO = 148.9%??pH = 8.90??SAV = none??deep (>2.0m),,697,,12.31,,,7/16/2019,9:42:00 PM,,43.27548154,-79.86057145,43.27503521,-79.86043671,,,,,,,0,,,,,
10338,HAMH,HH54,,,8/20/2019,12:11:00 AM,,125.7,,1,0,27,2,,23.18,8.94,,,,,,DO = 125.7%??pH = 8.94??SAV = none??Depth = 2.4m,,582,,10.69,,,8/20/2019,12:11:00 AM,,,,,,,,,,,,0,,,,,
10413,HAMH,HH54,,,10/16/2019,7:30:00 PM,,,,2,0,27,2,,15.084,,,,,,,,,518,,8.25,,,10/16/2019,7:30:00 PM,,,,,,,,,,,,0,CMB,,,,
10548,HAMH,HH54,,,7/16/2020,2:06:00 AM,,,,1,0,27,2,,25.19,,,,,,,,,649,,11.35,,,7/16/2020,2:06:00 AM,,,,,,,,,,,,0,CMB,,,,
10697,HAMH,HH54,,,9/23/2020,11:57:00 PM,,,,3,0,27,2,,18.457,8.77,6,,,,,,,488,,13.11,,,9/23/2020,11:57:00 PM,,,,,,,,,,,,0,,,,,
10687,HAMH,HH54,,,10/21/2020,7:27:00 PM,,,,3,0,27,2,,13.592,7.94,2.38,,,,,ph=7.94?ntu=2.38,,487.6,,9.38,,,10/21/2020,7:27:00 PM,,,,,,,,,,,,0,,,,,
10774,HAMH,HH54,,,7/28/2021,2:05:00 AM,8.84,,,1,0,27,2,,23.76,,,,,,,ph 8.84?ntu 2.75,,633,2.75,11.4,,,7/28/2021,2:05:00 AM,,,,,,,,,,,,0,,,,,
